Domain_size k heur total_time solver_time
10000 8 4 97.65 96.722325
1000 2 5 0.31 0.291586
1000 4 5 2.33 2.296215
1000 6 5 14.99 14.850593
1000 8 5 86.05 85.146475
2000 2 5 0.28 0.266028
2000 4 5 2.32 2.291928
2000 6 5 15.02 14.880314
2000 8 5 88.16 87.2784
3000 2 5 0.28 0.266364
3000 4 5 2.42 2.38975
3000 6 5 15.51 15.376614
3000 8 5 91.09 90.197318
4000 2 5 0.28 0.265832
4000 4 5 2.36 2.331208
4000 6 5 15.35 15.21799
4000 8 5 89.52 88.651656
5000 2 5 0.28 0.266196
5000 4 5 2.42 2.391444
5000 6 5 15.77 15.634378
5000 8 5 92.91 92.018064
6000 2 5 0.29 0.276022
6000 4 5 2.45 2.420845
6000 6 5 15.67 15.533671
6000 8 5 93.37 92.473648
7000 2 5 0.28 0.266644
7000 4 5 2.46 2.431218
7000 6 5 15.84 15.699024
7000 8 5 92.39 91.493817
8000 2 5 0.28 0.2667
8000 4 5 2.39 2.36132
8000 6 5 15.65 15.51541
8000 8 5 92.57 91.690585
9000 2 5 0.28 0.266224
9000 4 5 2.48 2.449992
9000 6 5 16.34 16.206012
9000 8 5 97.72 96.84052
10000 2 5 0.3 0.28548
10000 4 5 2.5 2.471
10000 6 5 16.14 16.006038
10000 8 5 96.15 95.275035
1000 2 6 0.3 0.28632
1000 4 6 2.32 2.291696
1000 6 6 14.49 14.349447
1000 8 6 86.07 85.217907
2000 2 6 0.33 0.316239
2000 4 6 2.36 2.33168
2000 6 6 15.0 14.8785
2000 8 6 88.48 87.657136
3000 2 6 0.29 0.276921
3000 4 6 2.39 2.36132
3000 6 6 15.63 15.503397
3000 8 6 90.3 89.47827
4000 2 6 0.3 0.28653
4000 4 6 2.32 2.291928
4000 6 6 15.3 15.16536
4000 8 6 89.68 88.845976
5000 2 6 0.29 0.27666
5000 4 6 2.44 2.412916
5000 6 6 15.8 15.67202
5000 8 6 93.09 92.270808
6000 2 6 0.3 0.28674
6000 4 6 2.48 2.450984
6000 6 6 15.68 15.551424
6000 8 6 92.77 91.93507
7000 2 6 0.29 0.276921
7000 4 6 2.4 2.37192
7000 6 6 15.78 15.65376
7000 8 6 92.49 91.65759
8000 2 6 0.3 0.28713
8000 4 6 2.4 2.37168
8000 6 6 15.68 15.535744
8000 8 6 92.32 91.479888
9000 2 6 0.31 0.296236
9000 4 6 2.44 2.412672
9000 6 6 16.26 16.12992
9000 8 6 96.89 96.066435
10000 2 6 0.3 0.28704
10000 4 6 2.44 2.412672
10000 6 6 16.41 16.283643
10000 8 6 97.49 96.632088
1000 2 7 0.28 0.266028
1000 4 7 2.31 2.280663
1000 6 7 14.69 14.559259
1000 8 7 85.91 85.076673
2000 2 7 0.28 0.266504
2000 4 7 2.36 2.330028
2000 6 7 15.36 15.223296
2000 8 7 89.24 88.374372
3000 2 7 0.28 0.265944
3000 4 7 2.56 2.529792
3000 6 7 16.24 16.10196
3000 8 7 90.98 90.142984
4000 2 7 0.29 0.270251
4000 4 7 2.43 2.396223
4000 6 7 15.59 15.445013
4000 8 7 90.92 90.047168
5000 2 7 0.29 0.272774
5000 4 7 2.55 2.51481
5000 6 7 15.87 15.725583
5000 8 7 93.74 92.89634
6000 2 7 0.28 0.260652
6000 4 7 2.44 2.407792
6000 6 7 15.83 15.697028
6000 8 7 93.55 92.68934
7000 2 7 0.29 0.26854
7000 4 7 2.41 2.374091
7000 6 7 15.75 15.616125
7000 8 7 93.66 92.807694
8000 2 7 0.29 0.271295
8000 4 7 2.42 2.390718
8000 6 7 15.79 15.638416
8000 8 7 94.28 93.403196
9000 2 7 0.29 0.272542
9000 4 7 2.65 2.61555
9000 6 7 16.45 16.310175
9000 8 7 97.5 96.6225
